Animals and Plants,Monster,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,L2/09‑103*
,Squirrel,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
Animals and Plants,Andrew West,2017‑11‑15,L2/17‑442,L2/18‑024,L2/14‑250*
,Hawk,"Mark Davis, Peter Edberg",2014‑08‑27,L2/14‑174R,L2/14‑250*
,Triceratops Head,Courtney Milan,2016‑04‑02,L2/16‑072,147‑A114
,Triceratops,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
,Ankylosaurus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Gallimimus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Pachycephalosaurus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Parasaurolophus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Stegosaurus,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Velociraptor,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Archaeopteryx,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Ichthyosaur,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Plesiosaur,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
Animals and Plants,Pterosaur,Andrew West,2016‑04‑29,L2/16‑103,147‑A116
,Griffin,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑24,L2/16‑304,L2/16‑324*
Animals and Plants,Pegasus,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑24,L2/16‑304,L2/16‑324*
Animals and Plants,Werewolf,"Tayfun Karadeniz, Emoji Subcommittee",2016‑10‑24,L2/16‑304,L2/16‑324*
,Vulture,"Álvaro Flórez Estrada Public School, Matumaini ONG, Mwema Street Children Centre Karatu, Dr. Patricia Mateo‐Tomás, Sarah Burton, Christian Krenek",2019‑10‑03,L2/19‑335,L2/20‑242R
,Orchid,"Cassidy Moody, Sam Balmer",2019‑07‑16,L2/19‑375,L2/20‑242R
People,Orchid,"Cassidy Moody, Sam Balmer",2019‑07‑16,L2/19‑375,L2/20‑242R
,Water Skier,"Irish National Body, German National Body",2009‑04‑06,L2/09‑114,L2/09‑103*
,"Male Nurse,Female Nurse[ZWJ sequence:👨/👩+🏥=👨‍🏥/👩‍🏥]","Rachel Been, Nicole Bleuel, Agustin Fonts, Mark Davis",2016‑05‑10,L2/16‑160,147‑A29*
People,"Male High Tech Industry Worker,Female High Tech Industry Worker[ZWJ sequence:👨/👩+⚡️=👨‍⚡️/👩‍⚡️]","Rachel Been, Nicole Bleuel, Agustin Fonts, Mark Davis",2016‑05‑10,L2/16‑160,147‑A29*
,Male Selfie[ZWJ sequence:👨+🤳=👨‍🤳],Peter Edberg,2016‑11‑03,L2/16‑333,149‑A111*
